job_title,companyName,companyLocation,job_summary,post_date,salary
"Data Analytics Senior Auditor-Commercial, Corporate and Inve...",WELLS FARGO BANK,"Charlotte, NC","Experience at a financial institution or accounting firm.
Commercial, Corporate and Investment Banking provides audit coverage for Middle Market Banking;…",Posted30+ days ago,None
"newTax Associate or Senior Associate, International Tax Shared...",KPMG,"Charlotte, NC 28202 (Fourth Ward area)","Minimum two years of recent tax compliance experience in an accounting firm, corporation and/or law firm.
Keep up to date on current tax practices.",Posted1 day ago,None
newSenior Accountant,Vaco,"Charlotte, NC+1 location","Work closely with external CPA firm regarding tax filings.
Develop within the company; be mentored and grown as a leader from the minute you're hired.",Posted1 day ago,None
"newTax Associate or Senior Associate, International Tax Shared...",KPMG,"Charlotte, NC 28202 (Fourth Ward area)","Minimum two years of recent tax compliance experience in an accounting firm, corporation and/or law firm.
Keep up to date on current tax practices.",Posted1 day ago,None
Transfer Pricing Senior Analyst,Trane Technologies,"Davidson, NC 28036",4+ years of North America and Latin American transfer pricing and corporate income tax experience with a Big 4 Accounting firm and/or in-house transfer pricing…,Posted30+ days ago,None
"newTax Manager or Senior Manager, International Tax Shared Serv...",KPMG,"Charlotte, NC 28202 (Fourth Ward area)+1 location","Minimum five years of recent tax compliance experience in an accounting firm, corporation and/or law firm.
Keep up to date on current tax practices.",Posted1 day ago,None
Senior Tax Associate,Aprio Llp,"Remote in Matthews, NC 28105","Interacting closely with clients to provide tax planning, consulting, and compliance services.
Working closely with partners on delivering innovative tax…",Posted9 days ago,Estimated $68.7K - $87.1K a year
"Senior Consultant, Transfer Pricing",Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)","Transfer pricing on a global scale-a multidisciplinary field that integrates economics, business, legal, and tax principles in the evaluation of global…",Posted30+ days ago,None
Managed Services Accounting - Senior Manager (Real Estate Co...,CohnReznick,"Remote in Charlotte, NC 28202","Liaison with senior management on accounting matters.
A flexible work environment with competitive benefits.
Oversee month end and quarter end close activities.",Posted30+ days ago,Estimated $140K - $178K a year
Sr Tax Analyst,Honeywell,"Charlotte, NC 28202 (Downtown Charlotte area)+3 locations","The Senior Tax Analyst / Accountant, coming from a Big 4 firm will provide support for tax compliance, reporting, and will assist with tax examinations by…",Posted30+ days ago,None
New Market Tax Credits Senior Manager,Cherry Bekaert LLP,"Charlotte, NC 28204 (Dilworth area)","TAG’s current portfolio consists of investments in areas with poverty rates as high as 66%, median family income as low as 14.24%, and unemployment rates as…",Posted30+ days ago,Estimated $76.4K - $96.8K a year
Charlotte Internal Audit & Financial Advisory (Financial Ser...,Protiviti,"Charlotte, NC+1 location","Charlotte Internal Audit & Financial Advisory (Financial Services) Senior Consultant.
The Senior Consultant coaches Interns, Consultants, and facilitates the…",Posted30+ days ago,None
"Senior, AAPS Risk & Compliance",Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)","Under the guidance and supervision of a Technology Controls Manager or Senior Manager, you will drive quality as part of the SDLC using established risk and…",Posted30+ days ago,None
Senior Analyst - Internal Audit/Risk Management,Elliott Davis,"Charlotte, NC 28202 (Dilworth area)","Responsibilities primarily include planning, directing, completing, and reviewing these internal audit and risk management engagements, as well as assisting as…",Posted30+ days ago,Estimated $95.4K - $121K a year
Audit Senior - Charlotte (Hybrid),Cherry Bekaert LLP,"Charlotte, NC 28204 (Dilworth area)+1 location","Dialogue over engagement efficiencies and client specific risks.
You will develop audit approach to be used by the engagement teams.",Posted17 days ago,Estimated $70.2K - $89K a year
"newSenior Associate, Global Independence Group",KPMG,"Charlotte, NC 28202 (Fourth Ward area)","Help with the oversight of member firm's KICS accounts and related processes.
Assist with inquiries raised by member firms regarding the application of personal…",Posted3 days ago,None
"Sr. Tax Analyst, International Tax and Planning",EnPro Industries,"Charlotte, NC 28209 (Ashbrook-Clawson Village area)","Assist in the research of tax planning opportunities.
Support structural tax planning strategies.
Model the impact of tax reform items in real time for…",Posted30+ days ago,None
Accounting & Reporting Advisory - Senior Manager,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)","Participate in strategic firm initiatives such as the development of written materials to support new service offerings, the development and delivery of…",Posted30+ days ago,None
"CSS Senior Manager, Process Strategy, Tax GPO",Corning,"Charlotte, NC 28216 (Oakdale South area)","Active portfolio management including project sponsorship, initial chartering, resource planning, budgeting, sponsor and executive committee reviews,…",Posted30+ days ago,None
Senior Tax Manager,SPX,"Charlotte, NC","Participate in / lead various Federal Tax planning projects as directed.
A minimum of 7 years of experience, preferably with some major accounting firm…",EmployerActive 19 days ago,Estimated $115K - $146K a year
newDigital Assurance & Transparency - Senior Associate,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202+1 location","Uphold the firm's code of ethics and business conduct.
Use a broad range of tools and techniques to extract insights from current industry or sector trends.",Posted3 days ago,None
newSenior Accountant,Tatum by Randstad,"Charlotte, NC 28215 (Hickory Grove area)","The Senior Accountant is responsible for all aspects of transactional accounting, maintaining the integrity of the general ledger and preparing monthly and…",Posted8 days ago,None
newSenior Accountant,TalentBridge,"Hybrid remote in Concord, NC 28025+1 location","Assist with tax planning, preparation and strategy with local organizations and clients (no out of town travel needed).
Public Accounting: 2 years (Preferred).",Posted1 day ago,None
Payroll Tax Senior Analyst,Accenture,"Charlotte, NC 28244 (Downtown Charlotte area)","Preparing/reviewing all tax equalization or relocation pay back activities for the client.
The key is a new operating model—one that's anchored around the…",Posted30+ days ago,None
Senior Accountant,MetroTech Automotive,"Charlotte, NC 28208 (Westover Hills area)","Charlotte, NC 28208: Reliably commute or planning to relocate before starting work (Preferred).
For over 30 years MetroTech has been providing dealerships with…",EmployerActive 10 days ago,None
Technical & Transactional Accounting Senior Manager,CBIZ,"Charlotte, NC 28277 (Whiteoak area)","Perform engagement planning and communicate status updates.
CBIZ ARC assists high growth companies with complex technical accounting, internal and external…",Posted30+ days ago,Estimated $119K - $151K a year
Audit & Assurance Senior Assistant,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+5 locations","Experience with a regional or Big 4 accounting firm preferred.
As an Audit & Assurance Senior Assistant, you will work closely with our clients to understand…",Posted30+ days ago,None
"Associate or Senior Associate, R&D Tax Credits (AMCS)",KPMG,"Charlotte, NC 28202 (Fourth Ward area)","A minimum of one year of tax experience in a public accounting firm or corporate taxation experience.
KPMG LLP (the U.S. member firm of KPMG International)…",Posted30+ days ago,None
Marketing Senior Specialist- Tax,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)","Event support - planning logistics, invitations, registration, conference materials and on-site experience as well as the post-event sales enablement and ROI…",Posted30+ days ago,None
"Senior Associate, Transaction Advisory Services - Financial...",BDO,"Remote in Charlotte, NC",Ability to interact with and adapt communication style to successfully convey messaging and objectives to all levels of management.,Posted30+ days ago,None
Sr. Business Control Specialist / Audit & Exams â€“ Charlott...,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)+1 location","The role supports various firm-wide risk and information security initiatives from any number of sources including Global Information Security, Risk and…",Posted29 days ago,None
Senior Audit Consultant,Trane Technologies,"Davidson, NC 28036","The Senior Audit Consultant will lead teams of 3-5 people and is responsible for audit planning, supervision of Audit Consultants, testing procedures and audit…",Posted30+ days ago,None
Senior Audit Associate,Aprio Llp,"Matthews, NC 28105","3-5 years of experience working for a public accounting firm.
Discretionary incentive compensation based on firm, group and individual performance.",Posted30+ days ago,Estimated $77.2K - $97.8K a year
"Senior Associate, Finance & Accounting (Data & Analytics)",KPMG,"Charlotte, NC 28202 (Fourth Ward area)+1 location","Minimum three years of recent financial analyst or similar experience; preferably from a professional services firm.
Provide support in budget preparation.",Posted30 days ago,None
Senior Accountant,Billy Graham Evangelistic Association,"Charlotte, NC 28217 (Eagle Lake area)","The Senior Accountant position prepares and analyzes financial reports, provides internal and external audit support, develops and maintains internal control…",Posted30+ days ago,Estimated $61.1K - $77.3K a year
"Senior Manager, SALT Income & Franchise",RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)","The firm offers a competitive benefits package, base compensation, and an employee bonus program for eligible roles based on individual and firm performance per…",Posted30+ days ago,Estimated $121K - $154K a year
Audit Senior Associate I,Grant Thornton,"Charlotte, NC 28244 (Downtown Charlotte area)","Run client engagements from start to finish, which includes planning, executing, directing, and completing financial audits and managing to budget.",Posted30+ days ago,None
Sr. Auditor,Varo Money,"Charlotte, NC","As Senior Auditor you will assist in the planning, design, and performance of operational, product, and compliance audit programs.",Posted30+ days ago,Estimated $76.3K - $96.7K a year
New Market Tax Credits Senior Manager,Cherry Bekaert LLP,"Charlotte, NC 28204 (Dilworth area)","TAG’s current portfolio consists of investments in areas with poverty rates as high as 66%, median family income as low as 14.24%, and unemployment rates as…",Posted30+ days ago,Estimated $76.4K - $96.8K a year
Sr. Tax Analyst,Numerator,"Remote in Charlotte, NC","Experience working with a multinational foreign parent company is strongly desired.
Here at Numerator, we've made all corporate roles have maximum flexibility…",Posted30+ days ago,None
newRisk Assurance Comp & Analytics - Data & Tech - SR Associate,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202","Uphold the firm's code of ethics and business conduct.
Operating in a professional services firm or large enterprise as a consultant, data analyst, auditor or…",Posted1 day ago,None
"Senior Associate, Tax Services","GreerWalker, LLP","Charlotte, NC 28202 (Downtown Charlotte area)","Participate in client meetings and serve as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and…",Posted30+ days ago,Estimated $78.5K - $99.3K a year
Senior Legal Entity Controller,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)+1 location",The team is responsible for various aspects of legal entity financial reporting and controllership including preparation of audited financial statements.,Posted23 days ago,None
"Senior Associate, Tax - Passthrough, Individual and Corporat...",Frazier & Deeter,"Charlotte, NC","Ability to supervise, review, train and develop staff accountants.
Our tax practice is accessible and committed to providing sophisticated tax advice to improve…",Posted9 days ago,Estimated $89.2K - $113K a year
newDigital Assurance & Transparency - Senior Associate,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202+1 location","Uphold the firm's code of ethics and business conduct.
Use a broad range of tools and techniques to extract insights from current industry or sector trends.",Posted3 days ago,None
Senior Tax and Wealth Planning Specialist,Vanguard,"Charlotte, NC","Leverage expert knowledge of complex income and estate tax and financial planning topics to develop holistic solutions for clients with net worth of $15MM+,…",Posted30+ days ago,None
Strategic Federal Tax Services Senior Associate,Grant Thornton,"Charlotte, NC 28244 (Downtown Charlotte area)","Ensure projects are conducted in accordance with firm standards and completed on time within budget.
A minimum of two to four years of experience in Accounting…",Posted30+ days ago,None
Senior Manager of Accounting and Reporting,Cornerstone Building Brands,"Charlotte, NC","6+ years of public accounting (Big 4 or top tier; clients must have included SEC registrants), 7 to 9 years of industry, or a mix of both, including supervisory…",Posted10 days ago,None
Sr. Property Tax Analyst,"United Rentals, Inc.","Charlotte, NC 28217","5+ years of multi-state Personal Property Tax experience with a large, multi-state corporation or accounting firm.
Process personal property tax bills.",Posted30+ days ago,None
"Senior Manager, Tax",Columbus McKinnon Corporation,"Charlotte, NC 28277 (Piper Glen Estates area)","Position Overview: Reporting to the Director of Tax, the Senior Manager of Tax manages U.S. corporate tax matters including U.S. tax planning, compliance, and…",Posted30+ days ago,Estimated $125K - $158K a year
newSenior - Investment Management - Private Equity Tax,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)","Preparing and leading client meetings on compliance and advisory projects related to tax planning opportunities, and the tax implications of various…",Posted1 day ago,None
Senior Legal Entity Controller,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)+1 location",The team is responsible for various aspects of legal entity financial reporting and controllership including preparation of audited financial statements.,Posted23 days ago,None
OFRO Internal Audit Senior Associate,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202+1 location","A career in Finance, within Internal Firm Services, will provide you with the opportunity to help PwC in all aspects of our Finance internal function including…",Posted30+ days ago,None
"Tax Senior, Project Management - Financial Services Tax Tran...",Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)","The Project Management Senior Consultant (PM) will be responsible for maintaining project budgets and schedules, facilitating change requests, managing issues…",Posted30+ days ago,None
Audit Senior Associate II,Grant Thornton,"Charlotte, NC 28244 (Downtown Charlotte area)","Listening and communicating clearly with clients about engagement expectations, as well as informing them about accounting, financial and regulatory…",Posted30+ days ago,None
Sr Director Internal Audit,Honeywell,"Charlotte, NC 28202 (Downtown Charlotte area)","Improve governance and controls across project lifecycle: bid & proposal, planning, execution, and close-out.
Cost Analysis and Control – Analyzing Inception to…",Posted16 days ago,None
Tax Senior Associate - FTSS Methods,Dixon Hughes Goodman,"Charlotte, NC 28209 (Barclay Downs area)","Prepare workpapers and calculate §481(a) and current year Schedule M adjustments for client engagements.
Work with a team of Accounting Methods specialist to…",Posted30+ days ago,Estimated $73.9K - $93.5K a year
Sr. Auditor,Varo Money,"Charlotte, NC","As Senior Auditor you will assist in the planning, design, and performance of operational, product, and compliance audit programs.",Posted30+ days ago,Estimated $76.3K - $96.7K a year
Banking and Capital Markets Tax - Senior Associate,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202+19 locations","Executing corporate planning and compliance, as well as tax accounting and financial reporting, including tax provision preparation, audit and review with the…",Posted9 days ago,None
Senior Audit Analyst,Fidelity Investments,"Charlotte, NC 28277 (Piper Glen Estates area)","Communicating findings to business leaders and senior management.
Working with middle to senior management within a business or function to facilitate the…",Posted30+ days ago,None
"newSr. Manager, Data Reporting- Governance & Audit",Humanity,"Charlotte, NC",This is a senior level position that is responsible for managing complex data and reporting to better assist management in maximizing resources in various…,Posted3 days ago,Estimated $102K - $129K a year
Audit Senior Associate I,Grant Thornton,"Charlotte, NC 28244 (Downtown Charlotte area)","Run client engagements from start to finish, which includes planning, executing, directing, and completing financial audits and managing to budget.",Posted30+ days ago,None
newSr. Tax Analyst I,Shutterfly,"Fort Mill, SC 29708","Develop and execute periodic reporting for senior management review;
Assist in the implementation of tax planning projects;
Partner with FP&A in forecasting;",Posted2 days ago,None
Pursuit Senior Manager General Tax,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+7 locations",Lead and serve as a strategic advisor on highest tier and most strategic pursuit opportunities from pre-RFP strategy through post-orals interactions with…,Posted30+ days ago,None
Sr Tax Manager,Bank of America,"Charlotte, NC 28202 (First Ward area)","Activities include tax forecasting, assisting management in the planning, development and implementation of tax minimization strategies including project…",Posted30+ days ago,None
newSenior Manager: Digital Controls and Cloud Auditing,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)","Manage the planning, economics and billing of multiple engagements.
Actively lead decision making with engagement management and seek to understand the broader…",Posted6 days ago,None
Team Lead - Tax Senior,CPA Business Advisors,"Kannapolis, NC 28081","Tax planning - develop and implement strategies.
As such the firm does not have a typical tax season in that 85% of the tax returns we prepare are for clients…",EmployerActive 5 days ago,None
"Senior Tax Manager, Tax Reporting - Charlotte, NC",Dentsply Sirona,"Charlotte, NC","Assist with tax modeling to evaluate and project tax rate implications for planning initiatives and legislative changes.
CPA preferred, but not required.",Posted30+ days ago,None
Senior Internal Auditor,CaroMont Health,"Gastonia, NC 28054","Job Summary: The Senior Internal Auditor is responsible for coordinating, planning, leading and conducting complex regulatory compliance, operational and…",Posted30+ days ago,Estimated $73.2K - $92.6K a year
"Senior Audit Managerâ€“ CFO: Liquidity, Interest Rate Risk,...",Bank of America,"Charlotte, NC 28202 (First Ward area)",The role contributes to the implementation of the audit strategy and interconnectivity with audit partners and offers exposure to senior audit and business…,Posted30+ days ago,None
"Tax Senior, Insurance Tax - Financial Services Tax Transform...",Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)",Consult with subject matter specialists and our clients in transforming their tax compliance processes through process and technology.,Posted30+ days ago,None
Senior Accounting Specialist,TalentBridge,"Charlotte, NC","Perform moderately complex operational account activities related to maintaining ledger accounts and developing reports.
4 years of accounting experience.",EmployerActive 10 days ago,None
Sr Tax Manager,Honeywell,"Charlotte, NC 28202 (Downtown Charlotte area)","Broad technical knowledge of US Federal and State tax laws & regulations, planning, audits & controversy.
Financial Reporting – Support the accurate preparation…",Posted17 days ago,None
"Accounting Clerk Senior, Business Office (Financial Services...",Central Piedmont Community College,"Charlotte, NC 28204 (Elizabeth area)","PT Accounting Clerk Senior, Business Office (Financial Services).
PT Accounting Clerk, Senior position available in Financial Services Business Office located…",Posted30+ days ago,None
Sr. Accountant,Insight Global,"Hybrid remote in Charlotte, NC+1 location","* Assess current accounting practice and ensure appropriate application of accounting policy.
* Assess current operating environment and drive process…",Posted22 days ago,None
newSenior Accountant,Vaco,"Charlotte, NC+1 location","Work closely with external CPA firm regarding tax filings.
Develop within the company; be mentored and grown as a leader from the minute you're hired.",Posted1 day ago,None
"Audit Senior Associate, Insurance",Dixon Hughes Goodman,"Charlotte, NC 28202 (First Ward area)","Serves the needs of the client by planning and performing audits, in addition to any other related client needs.
Experience auditing large companies preferred.",Posted30+ days ago,Estimated $70.3K - $89.1K a year
newSenior Lead Audit Manager - Operational Risk Management,WELLS FARGO BANK,"Charlotte, NC","Assist in planning and organizing work in an annual cycle and project cycle.
Wells Fargo is seeking a Senior Lead Audit Manager for the Operational Risk…",Posted4 days ago,None
"Senior Associate, Assurance",BDO,"Charlotte, NC","The Audit Senior will be responsible for coordinating the day-to-day ""in-charge"" duties of planning, fieldwork and ""wrap-up"" to include the preparing of…",Posted30+ days ago,None
"Sr Associate, Financial Services Audit Specialist - Remote",KPMG,"Remote in Charlotte, NC 28202",KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package.,Posted30+ days ago,None
newRisk Assurance Comp & Analytics - Data & Tech - SR Associate,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202","Uphold the firm's code of ethics and business conduct.
Operating in a professional services firm or large enterprise as a consultant, data analyst, auditor or…",Posted1 day ago,None
Senior - Financial Services Industries - Hedge Fund Tax,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+1 location","Tax seniors in our Hedge Fund Tax practice perform detail-level review of tax workpapers, allocations and tax returns, as well as perform research to advise on…",Posted30+ days ago,None
"newSr. Analyst, Tax",XPO Logistics,"Charlotte, NC 28277 (Ballantyne West area)+1 location","As the Senior Analyst, Tax you will support the Company’s state income tax return compliance and provision functions and manage controversy and planning matters…",Posted2 days ago,None
Tax Senior Associate - Charlotte,Cherry Bekaert LLP,"Charlotte, NC 28204 (Dilworth area)","The Tax Senior Accountant performs complex tax duties on a regular basis as well as trains and develops staff accountants.
Train and develop Staff Accountants.",Posted30+ days ago,Estimated $69.4K - $87.8K a year
PwC Private - Audit Senior Associate,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202+8 locations","A career within PwC Private will provide the opportunity to help private companies with a range of business advisory needs such as audit, tax compliance, and…",Posted30+ days ago,None
Sr. Tax Analyst,Numerator,"Remote in Charlotte, NC","Experience working with a multinational foreign parent company is strongly desired.
Here at Numerator, we've made all corporate roles have maximum flexibility…",Posted30+ days ago,None
State Income and Franchise - Investment Management Tax Senio...,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+1 location","Assisting with tax consulting projects including tax planning, restructuring, and due diligence.
2+ years' experience providing tax planning services or…",Posted30+ days ago,None
"Tax Senior Manager, International Tax Shared Services Center",KPMG,"Charlotte, NC 28202 (Fourth Ward area)","Participate in and contribute to market and business activities external to the firm.
KPMG LLP (the U.S. member firm of KPMG International) offers a…",Posted30+ days ago,None
Senior Audit Associate,Burkett Burkett & Burkett Certified Public...,"Hybrid remote in Rock Hill, SC 29730","Perform planning and substantive audit / review procedures and/or AUPs.
Participate in marketing events to promote the firm.",Posted30+ days ago,Estimated $50.9K - $64.5K a year
newTax Senior Manager- Federal Consulting- Quantitative Service...,EY,"Charlotte, NC 28217 (Eagle Lake area)","You will be part of the team, focused on identifying the various cash tax savings and refund opportunities in the areas of FDII, BEAT, and GILTI planning, R&D…",Posted1 day ago,None
Senior Lead Audit Manager - Market & Counterparty Risk,WELLS FARGO BANK,"Charlotte, NC","Assist in planning and organizing work in an annual cycle and project cycle.
Wells Fargo is seeking a Senior Lead Audit Manager on the Market and Counterparty…",Posted17 days ago,None
"Senior Manager, SALT Income & Franchise",RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)","The firm offers a competitive benefits package, base compensation, and an employee bonus program for eligible roles based on individual and firm performance per…",Posted30+ days ago,Estimated $121K - $154K a year
"Sr. Director, Tax Strategy",Hayward Industries,"Charlotte, NC 28202 (Downtown Charlotte area)","Responsible for creating, prioritizing, and implementing international tax planning strategies, policies, and procedures.
Complete special projects as assigned.",Posted30+ days ago,Estimated $135K - $171K a year
Financial Services Tax - Real Estate Senior Associate,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202","Use a broad range of tools and techniques to extract insights from current industry or sector trends.
You’ll advise clients on their local and overseas tax…",Posted30+ days ago,None
Technical & Transactional Accounting Senior Consultant,CBIZ,"Charlotte, NC 28277 (Whiteoak area)","Contribute to engagement planning and ensuring high quality of related products/deliverables for each.
CBIZ ARC assists high growth companies with complex…",Posted30+ days ago,Estimated $81.7K - $103K a year
Senior Accounting Specialist,TalentBridge,"Charlotte, NC","Perform moderately complex operational account activities related to maintaining ledger accounts and developing reports.
4 years of accounting experience.",EmployerActive 10 days ago,None
Capital Markets Accounting Advisory Services - Senior Associ...,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)","Uphold the firm's code of ethics and business conduct.
International hires or hires from a PwC affiliate firm to have obtained the equivalent accounting…",Posted30+ days ago,None
"Sr. Director, Tax Strategy",Hayward Industries,"Charlotte, NC 28202 (Downtown Charlotte area)","Responsible for creating, prioritizing, and implementing international tax planning strategies, policies, and procedures.
Complete special projects as assigned.",Posted30+ days ago,Estimated $135K - $171K a year
Senior Property Accountant,Ascendo Resources,"Charlotte, NC","Assist with the acquisitions and sales of properties adjusting budgets as require.
Responsible for independently completing the full Property Accounting for a…",EmployerActive 5 days ago,None
newSenior Accountant,Vaco,"Charlotte, NC+1 location","Work closely with external CPA firm regarding tax filings.
Develop within the company; be mentored and grown as a leader from the minute you're hired.",Posted1 day ago,None
Capital Markets Accounting Advisory Services - Senior Manage...,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202","Uphold the firm's code of ethics and business conduct.
Technical Capabilities: advising clients on relevant technical issues for their business including…",Posted30+ days ago,None
State Income and Franchise - Investment Management Tax Senio...,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+1 location","Assisting with tax consulting projects including tax planning, restructuring, and due diligence.
2+ years' experience providing tax planning services or…",Posted30+ days ago,None
Senior - Financial Services Industries - Hedge Fund Tax,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+1 location","Tax seniors in our Hedge Fund Tax practice perform detail-level review of tax workpapers, allocations and tax returns, as well as perform research to advise on…",Posted30+ days ago,None
Partnership Tax - SALT Senior Manager,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202+3 locations","A career in Finance, within Internal Firm Services, will provide you with the opportunity to help PwC in all aspects of our Finance internal function including…",Posted30+ days ago,None
"Data Analytics Senior Auditor-Commercial, Corporate and Inve...",WELLS FARGO BANK,"Charlotte, NC","Experience at a financial institution or accounting firm.
Commercial, Corporate and Investment Banking provides audit coverage for Middle Market Banking;…",Posted30+ days ago,None
Senior Audit Manager - Data Management,Bank of America,"Charlotte, NC 28202 (First Ward area)","Act as a Subject Matter Expert for the CCAR division and consult on data risk coverage.
This person will be responsible for overseeing day-to-day audit coverage…",Posted30+ days ago,None
newSenior Project Accountant,AccruePartners,"Fort Mill, SC","Competitive base pay and benefit package.
Perform a high-level project analysis to highlight the main factors impacting project performance for the current…",Posted4 days ago,None
Tax .Net Specialist Senior - TTC,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)","And multi-tier system development and integration with other external systems.
As a professional in Deloitte's Tax Technology Consulting (TTC) team, you will be…",Posted30+ days ago,None
newSenior Accountant,Tatum by Randstad,"Charlotte, NC 28215 (Hickory Grove area)","The Senior Accountant is responsible for all aspects of transactional accounting, maintaining the integrity of the general ledger and preparing monthly and…",Posted8 days ago,None
newSenior Accountant,TalentBridge,"Hybrid remote in Concord, NC 28025+1 location","Assist with tax planning, preparation and strategy with local organizations and clients (no out of town travel needed).
Public Accounting: 2 years (Preferred).",Posted1 day ago,None
Senior Accounting Specialist,TalentBridge,"Charlotte, NC","Perform moderately complex operational account activities related to maintaining ledger accounts and developing reports.
4 years of accounting experience.",EmployerActive 10 days ago,None
People Advisory Services - Mobility - Tax Senior - Charlotte,EY,"Charlotte, NC 28202 (Fourth Ward area)+2 locations","Lead workstreams from planning to implementation – managing resources and budgets effectively.
Our key capabilities include: Mobility Tax Compliance, Income Tax…",Posted30+ days ago,None
Remote Tax Senior Manager - Global Tax Reporting,NTT DATA,"Remote in Charlotte, NC 28201","Participate in various tax planning activities and research including complex income tax accounting issues.
This role will be involved with all aspects of the…",Posted30+ days ago,None
Sr. Accountant,Insight Global,"Hybrid remote in Charlotte, NC+1 location","* Assess current accounting practice and ensure appropriate application of accounting policy.
* Assess current operating environment and drive process…",Posted22 days ago,None
Corporate Tax Senior Manager - US,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202+10 locations","Comprehensive technical skills in corporate and partnership tax planning and compliance, as well as tax accounting and financial reporting, including tax…",Posted30+ days ago,None
newSenior Accountant,Vaco,"Charlotte, NC+1 location","Work closely with external CPA firm regarding tax filings.
Develop within the company; be mentored and grown as a leader from the minute you're hired.",Posted1 day ago,None
Private Client Services Tax Senior Associate,RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)","Individual tax planning and compliance.
Entity tax planning and compliance.
Trust / Estate / Gift tax planning and compliance.",Posted30+ days ago,Estimated $58.9K - $74.5K a year
Senior Property Accountant,Ascendo Resources,"Charlotte, NC","Assist with the acquisitions and sales of properties adjusting budgets as require.
Responsible for independently completing the full Property Accounting for a…",EmployerActive 5 days ago,None
newDevOps Engineering Senior Manager-DAS Audit,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)","Project and system planning experience is essential.
The DevOps group is responsible for delivering DevOps services which accelerate the delivery of both…",Posted1 day ago,None
Private Client Services Tax Senior Manager - Ultra High Net...,RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)",Our Ultra-High Net Worth team focuses on post liquidity multigenerational families and C-Suite executives who have or require complex estate and income tax…,Posted30+ days ago,Estimated $112K - $142K a year
Sr. Auditor - Lead Credit Card,Insight Global,"Charlotte, NC","Credit card expertise (does not need to have audit experience in the credit card space).
This individual will be primarily responsible for leading and executing…",Posted19 days ago,None
Financial Services Tax - Real Estate Senior Manager,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202","Uphold the firm's code of ethics and business conduct.
Considerable experience identifying and addressing client needs: building, maintaining, and utilizing…",Posted30+ days ago,None
"Asset & Wealth Management Tax Senior Manager, US MidCentral",PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202+1 location","Uphold the firm's code of ethics and business conduct.
Managing resource requirements, project workflow, budgets, billing and collections; and preparing and/or…",Posted30+ days ago,None
Software & Systems Implementation Senior Manager - Tax,PRICE WATERHOUSE COOPERS,"Remote in Charlotte, NC 28202","Demonstrates extensive technical skills in a wide range of multistate sales and use tax matters, including the following: FAS 5, reverse audits, tax planning,…",Posted30+ days ago,None
Senior Income Tax Accountant,AccruePartners,"Charlotte, NC 28203 (Dilworth area)",Apply a solid understanding of tax concepts and use knowledge of the business and key processes gained from practical experience in the preparation of tax…,Posted30+ days ago,None
Sr. Accountant,Robert Half,"Charlotte, NC 28217+1 location","BA/BS in Accounting, CPA credentials are highly desired.
As a Senior Accountant, you will be responsible for financial statement preparation and consolidation,…",Posted30+ days ago,None
